Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
weed dispenser,5,5,390,52,0.00,https://munchmakers.com/product/easygrind,8,0.26,0.00,0,7070000,"[0,23,0,0,3,1,1,1,2,0,1,1]",2025-08-20,"Local pack, Image pack, Sitelinks, Image, Related searches, Discussions and forums",commercial,Organic
auto grinder and joint roller,3,3,260,15,0.00,https://munchmakers.com/blog/mastering-the-art-of-rolling-your-ultimate-guide-to-joint-rollers/,8,0.26,0.00,0,883000,"[54,66,54,66,43,81,35,54,10,29,66,66]",2025-08-31,"Image pack, Video, Image, People also ask, Related searches",commercial,People also ask
clear joint wraps,1,1,480,4,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,8,0.26,0.00,0.03,13800000,"[24,24,16,16,8,45,45,36,30,67,100,76]",2025-09-02,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums","commercial, informational",People also ask
cigarette smoker gifts,5,5,170,3,0.00,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,7,0.23,0.00,0.05,10,"[9,11,21,100,9,9,11,11,11,21,9,7]",2025-11-15,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
consumer preferences for joint rollers,4,4,170,0,0.00,https://munchmakers.com/blog/roll-like-a-pro-your-ultimate-guide-to-choosing-the-best-joint-roller-for-2024/,7,0.23,0.00,0,8560000,"[26,100]",2025-09-05,"Image pack, Sitelinks, Video, AI overview",informational,Organic
how much is a weed grinder,1,1,320,37,0.00,https://munchmakers.com/blog/unlocking-the-benefits-of-a-quality-weed-grinder-3/,7,0.23,0.00,0.01,15600000,"[54,43,100,100,43,66,43,54,66,54,66,66]",2025-09-09,"Image pack, Image, People also ask, Popular products","commercial, informational",People also ask
weed grinder cool,9,9,590,12,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience/,7,0.23,0.00,0,14400000,"[55,30,45,24,62,10,45,20,81,55,55,6]",2025-10-02,"Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
cute herb grinders,7,7,320,3,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,7,0.23,0.00,0,100,"[54,23,23,81,54,100,15,36,36,19,29,23]",2025-09-04,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
ashtray for weed,5,5,480,15,0.35,https://munchmakers.com/blog/the-ultimate-buyers-guide-to-weed-ashtrays-finding-the-perfect-ashtray-for-your-needs/,7,0.23,2.00,0.97,1470000,"[31,37,31,20,31,37,25,16,16,16,4,20]",2025-09-11,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",People also ask
personalised weed grinder,6,6,210,0,0.00,https://munchmakers.com/,7,0.23,0.00,0.01,267000,"[0,36,1,1,19,29,12,15,67,44,15,15]",2025-11-13,"Video, Image, Related searches, Discussions and forums",commercial,Organic
best weed grinder 2024,7,7,390,6,0.00,https://munchmakers.com/blog/ultimate-2024-guide-discover-the-best-weed-grinders-for-a-perfect-cannabis-experience/,7,0.23,0.00,0,4320000,"[54,81,100,67,81,67,36,7,12,5,7,3]",2025-08-28,"Image pack, Sitelinks, Video, People also ask",commercial,Organic
custom lighters,6,6,9900,25,0.58,https://munchmakers.com/blog/light-up-your-life-the-ultimate-guide-to-custom-lighters/,7,0.23,4.00,1,5080000,"[54,36,44,66,44,36,29,29,36,36,36,36]",2025-10-06,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Things to know",commercial,Things to know
ocbs papers,3,3,480,13,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,7,0.23,0.00,0.49,10,"[3,3,1,4,1,1,0,19,16,19,1,5]",2025-11-19,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",informational,People also ask
steel grinder,2,2,320,17,0.75,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,7,0.23,5.00,0.91,58800000,"[54,66,100,81,54,81,66,54,66,81,66,66]",2025-08-31,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
best weed grinder for kief,1,1,110,14,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-the-best-grinder-for-kief-collection-99fca0/,7,0.23,0.00,0,323000,"[29,43,35,29,18,29,18,22,10,14,14,22]",2025-08-19,"Image pack, Sitelinks, Image, People also ask, Discussions and forums",commercial,People also ask
torch lighter parts,1,1,110,20,0.00,https://munchmakers.com/blog/discover-the-art-of-custom-torch-lighters-style-function/,7,0.23,0.00,0.13,8720000,"[29,22,18,22,35,29,29,18,22,18,29,14]",2025-08-21,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
customized weed grinders,3,3,90,2,0.00,https://munchmakers.com/,7,0.23,0.00,0,10,"[10,10,7,19,12,12,5,7,7,7,10,12]",2025-11-09,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
ashtrays,6,6,4400,32,0.37,https://munchmakers.com/blog/ultimate-guide-to-ashtrays-features-benefits-and-buying-tips-for-smokers/,6,0.19,2.00,1,5900000,"[36,36,29,24,19,19,10,10,13,13,29,29]",2025-09-25,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know","commercial, informational",Things to know
ashtrays,6,6,4400,32,0.37,https://munchmakers.com/es/ultimate-guide-to-ashtrays-features-benefits-and-buying-tips-for-smokers/,6,0.19,2.00,1,5900000,"[36,36,29,24,19,19,10,10,13,13,29,29]",2025-09-25,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know","commercial, informational",Things to know
weed grinders cute,7,7,260,13,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,6,0.19,0.00,0,88,"[12,19,44,67,36,100,19,12,12,15,36,0]",2025-08-29,"Related searches, Discussions and forums",commercial,Organic
lighter quotes,1,1,170,16,0.02,https://munchmakers.com/blog/the-ultimate-guide-to-engraving-your-lighter-tips-and-tricks/,6,0.19,0.00,0.02,41600000,"[10,16,0,0,0,0,0,0,0,0,0,20]",2025-10-21,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
best weed grinder 2024,3,3,390,6,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,6,0.19,0.00,0,4320000,"[54,81,100,67,81,67,36,7,12,5,7,3]",2025-08-28,"Image pack, Sitelinks, Video, People also ask",commercial,People also ask
keif catcher,4,4,140,0,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,6,0.19,0.00,0,78,"[22,14,14,14,14,14,66,0,0,35,100,29]",2025-09-07,"Image pack, Sitelinks, Video, Popular products, Related searches","commercial, informational",Organic
kief catcher grinder,5,5,260,12,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,6,0.19,0.00,0,99200,"[28,35,18,44,35,66,54,44,54,35,54,44]",2025-10-07,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
titanium herb grinder,5,5,140,0,0.55,https://munchmakers.com/blog/titanium-vs-aluminum-grinders-which-is-worth-the-upgrade/,6,0.19,3.00,0.94,416000,"[100,29,6,9,15,12,6,6,6,9,9,6]",2025-09-02,"Image pack, Sitelinks, Image, Related searches, Discussions and forums","commercial, informational",Organic
kief collecting grinder,4,4,320,30,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,6,0.19,0.00,0,82800,"[88,72,2,2,2,2,2,2,2,100,59,59]",2025-08-28,"Local pack, Image pack, Sitelinks, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
coarse herb,6,6,210,6,0.00,https://munchmakers.com/it/blog/the-ultimate-guide-to-choosing-the-best-coarse-herb-grinder/,6,0.19,0.00,0,4270000,"[1,1,1,1,1,100,76,1,1,1,1,0]",2025-08-24,"Knowledge panel, Image pack, Related searches, AI overview",informational,Organic
custom vape pen battery,2,2,50,3,0.00,https://munchmakers.com/product-category/custom-vape-pen/,6,0.19,0.00,0,1760000,"[44,55,55,77,55,77,55,44,77,55,55,44]",2025-09-07,"Image pack, Image, People also ask, Related searches",commercial,Organic
vibes papers,1,1,720,52,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,6,0.19,0.00,0,20400000,"[24,24,24,24,30,36,36,30,36,30,30,30]",2025-08-30,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",navigational,People also ask
kief grinder,5,5,320,16,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,6,0.19,0.00,0,639000,"[15,15,29,44,66,100,29,66,66,44,44,44]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
can you smoke the yellow paper in bobs,1,1,170,22,0.00,https://www.munchmakers.com/roll-in-luxury-unveiling-the-allure-of-24k-gold-rolling-papers/,5,0.16,0.00,0,35,"[100,80,52,66,100,100,66,80,80,80,80,66]",2025-08-27,"Sitelinks, People also ask, Related searches",informational,People also ask
best kief catching grinder,1,1,90,6,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-the-best-grinder-for-kief-collection-99fca0/,5,0.16,0.00,0,16200,"[64,78,100,64,64,64,64,50,50,50,35,35]",2025-09-06,"Image pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,People also ask
custom ashtrays bulk,1,1,40,0,2.08,https://munchmakers.com/product-category/custom-ashtrays/,5,0.16,10.00,1,245000,"[17,11,11,17,11,11,29,41,52,23,23,11]",2025-09-08,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
custom vape pen,4,4,90,17,0.00,https://munchmakers.com/product-category/custom-vape-pen/,5,0.16,0.00,0,5030000,"[21,21,28,34,28,34,28,28,34,28,34,43]",2025-08-21,"Image pack, Sitelinks, Image, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
large herb grinder,9,9,720,51,0.56,https://munchmakers.com/product/custom-big-grinder,5,0.16,2.00,0.47,5630000,"[100,72,48,72,88,88,21,72,88,88,26,59]",2025-09-08,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
titanium grinder,9,9,260,4,1.02,https://munchmakers.com/blog/titanium-vs-aluminum-grinders-which-is-worth-the-upgrade/,5,0.16,5.00,0.77,5840000,"[100,67,12,19,23,29,15,15,19,15,12,15]",2025-08-27,"Image pack, Sitelinks, Video, Image, Related searches","commercial, informational",Organic
kief catcher,4,4,210,11,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,5,0.16,0.00,0,9,"[54,44,15,44,44,35,54,11,23,44,54,44]",2025-11-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
grinding tobacco,1,1,90,13,0.00,https://munchmakers.com/blog/your-guide-to-tobacco-grinding-04bb77/,5,0.16,0.00,0,8310000,"[0,8,6,6,13,6,5,5,5,3,10,6]",2025-09-09,"Sitelinks, Video, People also ask, Related searches",commercial,People also ask
best weed grinder with kief catcher,3,3,70,8,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,5,0.16,0.00,0,10,"[42,42,23,33,23,23,33,33,23,23,33,23]",2025-11-14,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
joint rolling machine automatic,4,4,390,30,0.00,https://munchmakers.com/blog/master-the-art-of-rolling-the-ultimate-guide-to-joint-rollers-for-effortless-enjoyment/,5,0.16,0.00,0,33900000,"[15,19,12,36,36,66,66,81,66,100,81,54]",2025-09-07,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
unique weed grinders,7,7,170,5,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience,5,0.16,0.00,0,11000000,"[80,66,52,66,100,100,100,66,66,66,80,52]",2025-08-17,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
can you smoke the warning paper on raw rolling papers,2,2,210,18,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,5,0.16,0.00,0,10,"[20,100,3,0,0,2,2,2,0,0,0,1]",2025-11-14,"Sitelinks, People also ask, Related searches, Discussions and forums",informational,Organic
weed grinder with kief catcher,7,7,590,12,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,5,0.16,0.00,0,56600,"[72,48,72,32,88,88,100,100,17,72,48,26]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Discussions and forums",commercial,People also ask
dab mats,6,6,720,7,0.00,https://munchmakers.com/product/custom-dab-mat,5,0.16,0.00,0,3190000,"[41,16,16,24,24,16,30,41,16,36,20,36]",2025-10-02,"Image pack, Video, Image, Related searches","commercial, informational",Image pack
kief catcher grinder,2,2,260,12,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,5,0.16,0.00,0,99200,"[28,35,18,44,35,66,54,44,54,35,54,44]",2025-10-07,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
how do you use a weed grinder,2,2,480,5,0.00,https://munchmakers.com/blog/master-the-art-of-grinding-weed-for-optimal-enjoyment-7adb65/,5,0.16,0.00,0,14200000,"[36,45,20,55,10,81,6,13,16,20,55,30]",2025-10-10,"Sitelinks, Video, Video Carousel, People also ask, Discussions and forums",informational,People also ask
how to use joint roller,9,9,210,11,0.00,https://munchmakers.com/blog/mastering-the-art-of-rolling-your-ultimate-guide-to-joint-rollers/,5,0.16,0.00,0,52500000,"[13,16,13,7,13,13,13,11,13,11,11,4]",2025-09-11,"Image pack, Sitelinks, Featured snippet",informational,Organic
electric tobacco roller,5,5,480,35,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,5,0.16,0.00,0,94,"[67,76,45,67,24,24,24,13,24,13,67,13]",2025-09-10,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
4 inch herb grinder,6,6,170,8,0.56,https://munchmakers.com/product/custom-big-grinder,5,0.16,2.00,0.99,1680000,"[42,53,53,65,65,100,80,53,42,53,53,53]",2025-09-07,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
best herb grinder with kief catcher,3,3,90,11,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,5,0.16,0.00,0,19700,"[50,78,100,100,64,64,64,50,21,50,35,35]",2025-09-09,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
giant herb grinder,3,3,90,8,0.00,https://munchmakers.com/product/custom-big-grinder,5,0.16,0.00,0,1060000,"[52,41,52,41,41,100,64,41,41,52,52,64]",2025-08-29,"Image pack, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
best grinders,4,4,390,22,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,5,0.16,0.00,0,10,"[24,13,20,20,4,11,13,11,5,8,16,16]",2025-11-19,"Image pack, Sitelinks, Video, Image, People also ask, Popular products",commercial,People also ask
electric weed grinder with kief catcher,4,4,210,13,0.00,https://munchmakers.com/blog/electric-weed-grinders-revolutionizing-cannabis-preparation/,5,0.16,0.00,0,76,"[100,80,65,80,65,80,65,65,65,65,80,53]",2025-08-29,"Image pack, Sitelinks, Image, People also ask, Popular products, Discussions and forums",commercial,Organic
electric herb grinder with kief catcher,9,9,260,0,0.00,https://munchmakers.com/blog/ultimate-electric-pot-grinder-guide-unleash-flavor-efficiency-with-kief-catchers-aad4f5/,5,0.16,0.00,0,45,"[66,53,53,53,66,100,100,53,66,53,66,53]",2025-08-24,"Image pack, Sitelinks, Image, Popular products, Related searches",commercial,Organic
how to use raw rolling,4,4,1000,24,0.00,https://munchmakers.com/blog/how-to-roll-with-raw-papers/,5,0.16,0.00,0,91300000,"[55,81,62,0,81,62,100,62,62,62,55,62]",2025-09-30,"Image pack, Video, Video Carousel, People also ask, Discussions and forums",informational,Organic
can you smoke the yellow paper in rolling papers,3,3,210,22,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,5,0.16,0.00,0,6300000,"[28,82,0,12,82,53,66,53,53,66,82,28]",2025-10-14,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
best automatic grinder and joint roller,6,6,480,25,0.00,https://munchmakers.com/blog/master-the-art-of-rolling-the-ultimate-guide-to-joint-rollers-for-effortless-enjoyment/,5,0.16,0.00,0,770000,"[12,36,81,100,67,67,67,81,44,36,36,44]",2025-10-09,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
boomers grinder,10,10,260,0,0.00,https://munchmakers.com/es/blog/ultimate-guide-to-choosing-the-perfect-marijuana-grinder-features-benefits-boomers-grinders-explained/,5,0.16,0.00,0,87,"[35,22,35,29,66,66,43,81,66,100,66,66]",2025-09-01,"Image pack, Sitelinks, Image, Related searches",commercial,Organic
custom vape battery,2,2,40,10,0.00,https://munchmakers.com/product-category/custom-vape-pen/,5,0.16,0.00,0,10,"[57,57,71,57,57,71,42,57,57,57,100,100]",2025-11-16,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
ludist grinder,2,2,720,7,1.22,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,5,0.16,6.00,0.95,72,"[13,25,46,31,100,46,31,31,20,16,16,25]",2025-09-05,"Image pack, Video, Image, People also ask, Related searches","commercial, navigational",People also ask
best grinders for weed,6,6,1600,32,0.00,https://munchmakers.com/blog/choosing-the-perfect-grinder-for-your-cannabis-experience/,5,0.16,0.00,0,16700000,"[43,8,43,54,36,36,8,28,7,10,19,8]",2025-09-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
electric blunt roller,2,2,320,13,0.00,https://munchmakers.com/blog/roll-with-ease-the-ultimate-guide-to-choosing-your-perfect-joint-roller/,5,0.16,0.00,0,1390000,"[28,23,28,35,100,81,44,54,54,44,44,44]",2025-08-16,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
large grinder,3,3,320,5,0.45,https://munchmakers.com/product/custom-big-grinder,4,0.13,1.00,0.72,92000000,"[29,44,44,44,54,54,44,36,44,36,44,44]",2025-08-23,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
custom smoking accessories,3,3,50,22,0.00,https://www.munchmakers.com/product-category/no-minimums/,4,0.13,0.00,0,16200000,"[45,63,36,18,100,27,45,27,27,27,18,81]",2025-08-22,"Image pack, Sitelinks, Image",commercial,Organic
do you have to be 21 to buy a grinder,1,1,40,12,0.00,https://www.munchmakers.com/5-tips-for-choosing-the-perfect-weed-grinder/,4,0.13,0.00,0,100,"[7,7,5,5,3,2,4,4,5,2,5,2]",2025-08-17,"Sitelinks, Video, People also ask, Related searches",informational,People also ask
funny grinders,4,4,70,1,0.00,https://munchmakers.com/blog/grind-with-a-smile-your-ultimate-guide-to-funny-herb-grinders/,4,0.13,0.00,0.23,79,"[26,26,26,26,26,26,26,26,26,19,26,19]",2025-08-19,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
what happens if you smoke the warning raw paper,5,5,210,22,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,4,0.13,0.00,0,58,"[22,22,66,81,81,35,18,14,35,54,43,29]",2025-09-05,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
blunt roller machine electric,3,3,320,6,0.00,https://munchmakers.com/blog/roll-with-ease-the-ultimate-guide-to-choosing-your-perfect-joint-roller/,4,0.13,0.00,0,93,"[54,44,36,36,54,100,54,44,44,36,36,36]",2025-08-15,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,People also ask
chocolate rolling papers,1,1,70,1,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,4,0.13,0.00,0,5410000,"[50,7,100,64,64,64,50,78,64,35,35,14]",2025-09-01,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
safest rolling papers,2,2,50,0,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,4,0.13,0.00,0,0,"[17,10,17,7,10,7,5,17,12,17,23,7]",2025-11-19,"Sitelinks, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
biggest grinder,6,6,170,2,0.00,https://munchmakers.com/product/custom-big-grinder,4,0.13,0.00,0.07,22200000,"[29,18,22,100,22,43,35,22,29,29,54,35]",2025-08-21,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
healthiest rolling papers,4,4,170,5,0.00,https://munchmakers.com/blog/top-rolling-paper-brands-of-2024-healthier-choices-for-a-better-smoking-experience/,4,0.13,0.00,0,248000,"[21,17,17,14,14,17,21,14,17,26,32,14]",2025-09-02,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
most expensive weed grinders,3,3,70,41,0.00,https://munchmakers.com/blog/elevate-your-experience-the-ultimate-guide-to-luxury-weed-grinders/,4,0.13,0.00,0,529000,"[63,63,45,63,45,63,45,45,63,63,63,63]",2025-09-03,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches",commercial,Organic
personalized herb grinder,5,5,140,0,4.51,https://munchmakers.com/,4,0.13,18.00,0.02,340000,"[0,0,0,54,1,0,28,11,18,23,100,66]",2025-09-01,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
herb grinder how to use,8,8,320,14,0.00,https://munchmakers.com/blog/unlocking-the-benefits-of-a-quality-weed-grinder-3/,4,0.13,0.00,0,6790000,"[20,20,20,20,6,24,10,6,3,100,16,20]",2025-09-02,"Sitelinks, Video, People also ask, Discussions and forums",informational,Organic
giant weed grinder,3,3,110,5,0.00,https://munchmakers.com/product/custom-big-grinder,4,0.13,0.00,0,1310000,"[42,34,42,26,26,80,53,42,34,42,42,34]",2025-08-20,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums","commercial, informational",Organic
weed grinder small,1,1,110,30,0.00,https://munchmakers.com/blog/grinders-decoded-your-ultimate-guide-to-choosing-the-perfect-size-for-weed/,4,0.13,0.00,0,10400000,"[28,43,12,17,28,28,23,12,53,23,66,35]",2025-09-03,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
grinder herb grinder,10,10,5400,32,0.00,https://www.munchmakers.com/unlocking-the-benefits-of-a-quality-weed-grinder/,4,0.13,0.00,0,8900000,"[0,0,0,0,0,0,0,100,54,36,0,3]",2025-10-04,"Sitelinks, Video, Image, Popular products, Related searches, Things to know",commercial,Things to know
grinder herb grinder,10,10,5400,32,0.00,https://munchmakers.com/blog/why-a-good-grinder-is-essential-for-your-cannabis-experience/,4,0.13,0.00,0,8900000,"[0,0,0,0,0,0,0,100,54,36,0,3]",2025-10-04,"Sitelinks, Video, Image, Popular products, Related searches, Things to know",commercial,Things to know
huge weed grinder,3,3,70,4,0.00,https://munchmakers.com/product/custom-big-grinder,4,0.13,0.00,0,1540000,"[11,11,7,15,15,15,19,34,53,53,42,53]",2025-09-11,"Image pack, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
weed trays sets,11,11,320,13,0.00,https://munchmakers.com/blog/rolling-in-style-the-complete-guide-to-weed-rolling-tray-sets/,4,0.13,0.00,0,14900000,"[20,24,13,20,16,67,13,20,8,30,30,36]",2025-09-07,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
personalized weed grinders,4,4,110,6,0.00,https://munchmakers.com/,4,0.13,0.00,0,579000,"[66,66,52,52,42,100,42,52,52,52,52,80]",2025-08-19,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
funny weed grinders,4,4,70,2,0.00,https://munchmakers.com/blog/grind-with-a-smile-your-ultimate-guide-to-funny-herb-grinders/,4,0.13,0.00,0,87,"[41,41,29,29,41,82,29,41,29,41,41,41]",2025-09-07,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
cigarette gifts,1,1,70,7,0.00,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,4,0.13,0.00,0.27,25800000,"[41,41,29,29,29,100,41,52,41,41,64,41]",2025-08-28,"Image pack, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
custom glass ashtray,2,2,50,0,0.53,https://munchmakers.com/product-category/custom-ashtrays/,4,0.13,2.00,1,4460000,"[18,18,18,63,100,27,27,27,45,27,100,27]",2025-08-31,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
weed grinder kief catcher,5,5,260,11,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,4,0.13,0.00,0,49000,"[15,29,15,36,12,12,81,12,19,10,67,29]",2025-10-07,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,People also ask
ash tray for weed,2,2,210,5,0.35,https://munchmakers.com/blog/the-ultimate-buyers-guide-to-weed-ashtrays-finding-the-perfect-ashtray-for-your-needs/,3,0.09,1.00,0.97,1650000,"[43,23,53,43,100,100,66,53,12,43,43,43]",2025-09-10,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
presents for smokers,8,8,140,13,0.51,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,3,0.09,1.00,0.42,15600000,"[12,12,12,29,15,44,12,12,5,12,15,19]",2025-09-05,"Image pack, Video, Image, People also ask, Related searches",commercial,Organic
weed grinder with kief collector,7,7,170,21,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,3,0.09,0.00,0,16900,"[66,35,35,28,28,100,43,35,43,43,28,17]",2025-09-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
coolest weed grinders,7,7,320,13,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,3,0.09,0.00,0,397000,"[25,13,16,46,8,20,13,3,8,8,7,20]",2025-08-28,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
raw cigarette,1,1,140,18,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,3,0.09,0.00,0,45000000,"[0,100,100,78,100,100,100,100,100,100,100,100]",2025-08-26,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,People also ask
can you smoke the yellow paper in bobs,1,1,170,22,0.00,https://www.munchmakers.com/custom-rolling-papers/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,3,0.09,0.00,0,35,"[100,80,52,66,100,100,66,80,80,80,80,66]",2025-08-27,"Sitelinks, People also ask, Related searches",informational,People also ask
