Dispensary Name,Address,City,State,Zip Code,Phone,Type
Concrete Cannabis,45896 Main St,Concrete,WA,98237,,Recreational
Hamilton Cannabis,584 Maple St,Hamilton,WA,98255,,Recreational
Lyman Cannabis,8421 S Main St,Lyman,WA,98263,,Recreational
La Conner Cannabis,702 S 1st St,La Conner,WA,98257,,Recreational
Anacortes Cannabis,2202 Commercial Ave,Anacortes,WA,98221,,Recreational
Oak Harbor Cannabis,31565 State Route 20,Oak Harbor,WA,98277,,Recreational
Coupeville Cannabis,901 NW Alexander St,Coupeville,WA,98239,,Recreational
Langley Cannabis,221 2nd St,Langley,WA,98260,,Recreational
Clinton Cannabis,6380 Coles Rd,Clinton,WA,98236,,Recreational
Freeland Cannabis,5565 Vanderberg Rd,Freeland,WA,98249,,Recreational
Stanwood Cannabis,8722 271st St NW,Stanwood,WA,98292,,Recreational
Camano Island Cannabis,848 N Sunrise Blvd,Camano Island,WA,98282,,Recreational
