Name,Address,City,State,Zip,Phone,Website,Type
Cookies - Detroit,6030 8 Mile Road,Detroit,MI,48234,(313) 242-6080,https://shop.gagecannabis.com/cookiesdetroit,Recreational & Medical
Cookies - Ann Arbor,2460 W Stadium Blvd,Ann Arbor,MI,48103,(734) 436-1551,https://shop.gagecannabis.com/cookiesannarbor,Recreational & Medical
Cookies - Kalamazoo,2712 Portage Street,Kalamazoo,MI,49001,,https://gagecannabis.com,Recreational & Medical
The OUI-D Shop - Saginaw,,,Saginaw,MI,,,https://theouidshop.com,Recreational & Medical
The OUI-D Shop - Midland,,,Midland,MI,,,https://theouidshop.com,Recreational & Medical
The OUI-D Shop - Davison,,,Davison,MI,,,https://theouidshop.com,Recreational & Medical
Club Medz - Flint,,,Flint,MI,,,https://clubmedz.com,Recreational & Medical
SFP Cannabis - Flint,,,Flint,MI,,,https://sfpcannabis.com,Recreational & Medical
Smilez Dispensary - Burton,,,Burton,MI,,,https://shopsmilez.com,Recreational & Medical
Cannabis King - Burton,,,Burton,MI,,,https://www.cannabiskingmi.com,Recreational & Medical
URB Cannabis Dispensary - Davison,,,Davison,MI,,,https://urbcannabis.com,Recreational & Medical
Xplore Cannabis Co - Lapeer,,,Lapeer,MI,,,https://www.xplorecannabis.com,Recreational & Medical
Cherry Cannabis - Jackson,,,Jackson,MI,,,https://cherrycannabis.com,Recreational & Medical
Fuel 420 - Jackson,,,Jackson,MI,,,https://fuel420.com,Recreational & Medical
The Seed Cellar - Jackson,,,Jackson,MI,,,https://theseedcellar.com,Recreational & Medical
Mood Cannabis - Jackson,,,Jackson,MI,,,https://moodcannabis.com,Recreational & Medical
Thrive - Jackson,,,Jackson,MI,,,https://thrivecannabis.com,Recreational & Medical
Choice - Jackson,,,Jackson,MI,,,https://choicecannabis.com,Recreational & Medical
Your Highness Cannabis - Port Huron,,,Port Huron,MI,,,https://yourhighnesscannabis.com,Recreational & Medical
Bogarts Cannabis - Port Huron,,,Port Huron,MI,,,https://bogartscannabis.com,Recreational & Medical
High Club - Port Huron,,,Port Huron,MI,,,https://shophighclub.com,Recreational & Medical
Arbors Wellness - Ann Arbor,,,Ann Arbor,MI,,,https://arborswellness.com,Recreational & Medical
The Patient Station - Ypsilanti,,,Ypsilanti,MI,,,https://thepatientstation.com,Recreational & Medical
Nuggets Canna Co - Ypsilanti,,,Ypsilanti,MI,,,https://nuggetscannnaco.com,Recreational & Medical
Sticky - Ann Arbor,,,Ann Arbor,MI,,,https://stickymi.com,Recreational & Medical
Sticky - Ypsilanti,,,Ypsilanti,MI,,,https://stickymi.com,Recreational & Medical
Pure Roots - Ann Arbor,,,Ann Arbor,MI,,,https://pureroots.com,Recreational & Medical
Pure Roots - Warren,,,Warren,MI,,,https://pureroots.com,Recreational & Medical
Dreams Canna - Southfield,28930 South Telegraph Rd,Southfield,MI,,,https://dreamscanna.com,Recreational & Medical
Moses Roses - Lincoln Park,,,Lincoln Park,MI,,,https://www.mosesroses.com,Recreational & Medical
Kinship Cannabis - Lincoln Park,,,Lincoln Park,MI,,,https://kinshipcannabis.com,Recreational & Medical
Kinship Cannabis - Wyandotte,,,Wyandotte,MI,,,https://kinshipcannabis.com,Recreational & Medical
Bowz Cannabis - Wyandotte,,,Wyandotte,MI,,,https://bowzcannabis.com,Recreational & Medical
Green Acres - Wyandotte,,,Wyandotte,MI,,,https://greenacrescannabis.com,Recreational & Medical
Snoops Doggz Smoke Relief,,,Lincoln Park,MI,,,https://snoopsdoggz.com,Recreational & Medical
Eleven Cannabis Co - Berkley,3120 W Eleven Mile Rd,Berkley,MI,48072,,https://elevencannabisco.com,Recreational & Medical
Gatsby Cannabis - Ferndale,,,Ferndale,MI,,,https://gatsbycannabis.com,Recreational & Medical
Gatsby Cannabis - Waterford,,,Waterford,MI,,,https://gatsbycannabis.com,Recreational & Medical
Levels Cannabis - Waterford,,,Waterford,MI,,,https://levelscannabis.com,Recreational & Medical
Greenhouse of Walled Lake,,,Walled Lake,MI,,,https://www.greenhousemi.com,Recreational & Medical
PUFF - Madison Heights,,,Madison Heights,MI,,,https://www.shoppuff.com,Recreational & Medical
Motor City Kush - Detroit,10 E 8 Mile,Detroit,MI,,,https://motorcitykush.com,Recreational & Medical
House of Zen - Detroit,14501 Mack,Detroit,MI,,,https://houseofzen.com,Recreational & Medical
Chronic City - Detroit,6810 E. McNichols,Detroit,MI,,,https://chroniccity.com,Recreational & Medical
Plan B - Detroit,20101 W 8 Mile,Detroit,MI,,,https://planbdetroit.com,Recreational & Medical
DaCut - Detroit,12668 Gratiot,Detroit,MI,,,https://dacut.com,Recreational & Medical
Blue Wave - Detroit,1947 W Fort,Detroit,MI,,,https://bluewavecannabis.com,Recreational & Medical
Fluresh - Grand Rapids,,,Grand Rapids,MI,,,https://fluresh.com,Recreational & Medical
Torch Cannabis - Petoskey,,,Petoskey,MI,,,https://torchcannabis.com,Recreational & Medical
Torch Cannabis - Grayling,,,Grayling,MI,,,https://torchcannabis.com,Recreational & Medical
The Woods - Cheboygan,,,Cheboygan,MI,,,https://thewoodscannabis.com,Recreational & Medical
The Woods - West Branch,,,West Branch,MI,,,https://thewoodscannabis.com,Recreational & Medical
Buds Of Petoskey,,,Petoskey,MI,,,https://www.budsofpetoskey.com,Recreational & Medical
Endo Cannabis Centers - Houghton Lake,,,Houghton Lake,MI,,,https://endovibe.com,Recreational & Medical
The Hempire Collective - Houghton Lake,,,Houghton Lake,MI,,,https://hempiremi.com,Recreational & Medical
Pincanna - Houghton Lake,,,Houghton Lake,MI,,,https://pincanna.com,Recreational & Medical
Pincanna - Grayling,,,Grayling,MI,,,https://pincanna.com,Recreational & Medical
Lyfted - Houghton Lake,,,Houghton Lake,MI,,,https://lyftedmi.com,Recreational & Medical
Essence Provisioning Center - Houghton Lake,,,Houghton Lake,MI,,,https://essenceprovisioning.com,Recreational & Medical
Essence Provisioning Center - Midland,,,Midland,MI,,,https://essenceprovisioning.com,Recreational & Medical
Craft Hemp Company - Midland,,,Midland,MI,,,https://crafthempco.com,Recreational & Medical
Lacannaville Dispensary - Midland,,,Midland,MI,,,https://lacannaville.com,Recreational & Medical
Elite Wellness - Midland,,,Midland,MI,,,https://elitewellnessmi.com,Recreational & Medical
Bud Brothers - Midland,,,Midland,MI,,,https://budbrothersmi.com,Recreational & Medical
Timber Cannabis Co - Sturgis,,,Sturgis,MI,,,https://timbercannabisco.com,Recreational & Medical
Atlas Cannabis Co - Sturgis,,,Sturgis,MI,,,https://atlascannabisco.com,Recreational & Medical
Wild Glow Cannabis Company,,,Western UP,MI,,,https://www.wildglowcc.com,Recreational & Medical
Dunegrass Co - Marquette,100 Genesee St,Marquette,MI,,,https://dunegrass.com,Recreational & Medical
Cannabis Lupus Cafe - Marquette,300 M-553,Marquette,MI,,,https://cannabislupus.com,Recreational & Medical
Flow Provisioning - Marquette,918 Co Rd 480,Marquette,MI,,,https://flowprovisioning.com,Recreational & Medical
Native Son - Detroit,,,Detroit,MI,,,https://nativeson.com,Recreational & Medical
High Level Health - Vassar,,,Vassar,MI,,,https://highlevelhealth.com,Recreational & Medical
CBD Surgeons - Davison,,,Davison,MI,,,https://cbdsurgeons.com,Recreational & Medical
